,date,predicted_class,vader_score
264,2021-01-14,Social,0.12603846153846154
265,2021-01-19,Environmental,0.3103382352941177
266,2021-01-19,Social,0.09598333333333332
267,2021-01-28,Environmental,0.1488950819672131
268,2021-01-28,Governance,0.05135
269,2021-01-28,Social,0.49245
270,2021-01-29,Environmental,0.33281
271,2021-01-29,Social,0.8658
272,2021-01-30,Environmental,0.4215
273,2021-02-01,Environmental,0.134425
274,2021-02-01,Governance,0.0
275,2021-02-01,Social,0.37095
276,2021-02-04,Environmental,0.44965555555555553
277,2021-02-04,Social,0.1779
278,2021-02-08,Environmental,0.3612
279,2021-02-20,Environmental,0.7845
280,2021-02-22,Environmental,0.18064687499999998
281,2021-02-22,Governance,0.0
282,2021-02-22,Social,0.20325000000000001
283,2021-02-26,Environmental,0.4166
284,2021-03-04,Environmental,0.6190333333333333
285,2021-03-04,Social,0.17924444444444443
286,2021-03-16,Environmental,0.3321705882352941
287,2021-03-16,Social,0.4781
288,2021-03-24,Environmental,0.5708714285714286
289,2021-04-01,Environmental,0.1129076923076923
290,2021-04-01,Social,0.5726
291,2021-04-12,Environmental,0.7178
292,2021-04-12,Social,0.0
293,2021-04-16,Environmental,0.269978125
294,2021-04-16,Social,0.42200769230769236
295,2021-04-20,Environmental,0.5932
296,2021-04-20,Social,0.3243
297,2021-04-22,Environmental,0.6234000000000001
298,2021-04-22,Social,0.6249
299,2021-04-29,Environmental,0.2217148936170213
300,2021-04-29,Social,0.21075
301,2021-05-05,Environmental,0.17540877192982457
302,2021-05-05,Social,0.56015
303,2021-05-13,Environmental,0.27003636363636363
304,2021-05-13,Social,0.0
305,2021-05-18,Environmental,0.3495142857142857
306,2021-05-18,Social,0.6705
307,2021-06-08,Environmental,0.6645923076923077
308,2021-06-08,Social,0.512
309,2021-06-10,Environmental,0.21376666666666666
310,2021-06-10,Social,0.46113333333333334
311,2021-06-11,Environmental,0.23018333333333332
312,2021-06-11,Social,0.5656
313,2021-06-14,Social,0.08066
314,2021-06-20,Social,0.2023
315,2021-06-24,Environmental,0.18534545454545456
316,2021-06-30,Environmental,0.0
317,2021-07-14,Environmental,0.3312846153846154
318,2021-07-14,Social,0.3357
319,2021-07-15,Environmental,0.3763775
320,2021-07-15,Social,0.4779
321,2021-07-20,Environmental,0.3561526315789474
322,2021-07-20,Social,0.5508
323,2021-07-27,Environmental,0.2579764705882353
324,2021-07-27,Social,0.3612
325,2021-08-03,Environmental,0.006272000000000013
326,2021-08-03,Social,0.2532625
327,2021-08-11,Environmental,0.306616
328,2021-08-11,Social,-0.0054583333333333385
329,2021-08-13,Environmental,0.48605714285714285
330,2021-08-13,Social,0.490825
331,2021-08-19,Environmental,0.43844000000000005
332,2021-08-19,Social,0.4989
333,2021-08-31,Environmental,0.15194000000000002
334,2021-08-31,Social,0.28465999999999997
335,2021-09-20,Environmental,0.292475
336,2021-09-20,Social,0.36050000000000004
337,2021-09-22,Environmental,-0.10678333333333333
338,2021-09-23,Environmental,0.20144285714285712
339,2021-09-23,Social,0.4847
340,2021-09-24,Environmental,0.128
341,2021-09-28,Environmental,0.134075
342,2021-09-28,Social,0.7003
343,2021-10-01,Environmental,0.4393
344,2021-10-01,Social,0.6026750000000001
345,2021-10-07,Environmental,0.33466111111111113
346,2021-10-07,Social,-0.11024999999999999
347,2021-10-12,Environmental,0.172053125
348,2021-10-13,Environmental,0.302088
349,2021-10-13,Social,0.40199999999999997
350,2021-10-14,Environmental,0.33315897435897435
351,2021-10-21,Environmental,0.3414035714285714
352,2021-10-21,Social,0.6705
353,2021-10-26,Social,0.6908
354,2021-10-27,Environmental,0.2613989898989899
355,2021-10-27,Social,0.45336999999999994
356,2021-11-03,Environmental,0.3287586206896552
357,2021-11-03,Social,0.2849333333333333
358,2021-11-04,Environmental,0.1366
359,2021-11-05,Environmental,0.3818
360,2021-11-08,Environmental,0.6106857142857143
361,2021-11-08,Social,0.6376083333333333
362,2021-11-09,Environmental,0.404125
363,2021-11-09,Social,0.4518333333333333
364,2021-11-10,Social,0.8271
365,2021-11-11,Environmental,0.40756756756756757
366,2021-11-11,Social,0.47234545454545457
367,2021-11-16,Environmental,0.424341935483871
368,2021-11-16,Social,0.17385
369,2021-11-17,Environmental,0.21866666666666668
370,2021-11-17,Social,0.5241464285714286
371,2021-11-18,Environmental,0.32413454545454545
372,2021-11-18,Social,0.3414181818181818
373,2021-11-19,Environmental,0.49701875
374,2021-11-19,Social,0.5292666666666667
375,2021-11-22,Environmental,0.26955
376,2021-11-22,Social,0.5154
377,2021-11-23,Environmental,0.7506
378,2021-11-23,Social,0.6357333333333334
379,2021-11-24,Environmental,0.42346000000000006
380,2021-11-24,Social,0.26436000000000004
381,2021-11-27,Environmental,0.03752093023255814
382,2021-11-27,Social,0.06315
383,2021-11-30,Social,0.7385
384,2021-12-09,Environmental,0.6808
385,2021-12-15,Environmental,0.21538000000000004
386,2021-12-15,Social,0.7351
387,2021-12-17,Environmental,-0.016664705882352946
388,2021-12-17,Social,0.3182
389,2021-12-20,Social,0.34
390,2022-01-03,Environmental,0.5726571428571429
391,2022-01-03,Social,0.5574
392,2022-01-04,Environmental,0.6433599999999999
